title,url,image,openTypeList,detail,baseInfoKeyList,baseInfoValueList
bm,http://www.baike.com/wiki/bm,http://a2.att.hudong.com/30/46/50200014992522154422465355650_s.jpg,,《血色星期一》是日本TBS电视台制作并播出的11集剧情电视剧。由平野俊一、波多野贵文、宫下健作导演，莳田光冶、渡边雄介编剧，三浦春马、吉濑美智子、片濑那奈、芦名星、藤井美菜等主演，于2008年10月11日首播 。 该剧改编自龙门谅、惠广史所著同名漫画作品，讲述了一名天才黑客，和最凶恶的病毒恐怖组织血色星期一正面对抗的故事 。,中文名：##外文名：##别名：##主要演员：##导演：##编剧：##类别：##全部集数：##每集长度：##首播时间：##出品公司：##发行公司：##拍摄地点：##制片地点：##出品时间：##上映时间：##制片人：##漫画原作：,bm##ブラッディ・マンデイ##天才骇客F##三浦春马，吉濑美智子，片濑那奈，芦名星，藤井美菜，田中哲司##平野俊一、波多野贵文、宫下健作##莳田光冶、渡边雄介##剧情##11集##50分钟##2008年10月11日##TBS电视台##TBS电视台##日本##日本##2008年10月11日##2008年10月11日##莳田光冶、神户明、樋口优香##龙门谅，惠广史
汉,http://www.baike.com/wiki/汉,http://a0.att.hudong.com/03/38/50200014992522154424387475578_s.jpg,,武汉，简称“汉”，别称江城，是湖北省省会、副省级市、中央军委联勤保障部队驻地，国务院批复确定的中国中部地区的中心城市，全国重要的工业基地、科教基地和综合交通枢纽。截至2018年，全市下辖13个区，总面积8494.41平方千米，建成区面积628平方千米，常住人口1108.1万人，城镇人口889.69万人，城镇化率80.2%，是中部六省唯一的特大城市。,中文名：##拼音：##繁体：##笔画：##部首：##五笔码：##仓颉码：##郑码：##四角号码：##UniCode：##结构：##注音字母：##造字法：##异体字：##字    级：,汉[武汉简称]##hàn##漢##5##氵##ICY##EE##VXS##37140##CJK统一汉字-6C49##合体字，左右结构##ㄏㄢˋ##形声字##㵄、##一级（0311）
精神,http://www.baike.com/wiki/精神,http://a2.att.hudong.com/64/01/50200009239445155966011440354_s.jpg,,按照黑格尔哲学，人的意识包含精神、思维两部分，精神是意识的一部分，精神又包含人的情感、意志等心理状态。精神是人的生命体征的直接反映。,名称：##拼音：##出处：##释义：,精神##jīng shén##吕氏春秋·尽数##指人的意识、思维活动和一般心理状态
文章,http://www.baike.com/wiki/文章,http://a2.att.hudong.com/60/68/20300001024098156240680765421_s.jpg,人物##娱乐人物,文章，1984年6月26日出生于陕西省西安市，中国内地男演员、导演。2006年毕业于中央戏剧学院表演系。,中文名：##英文名：##别名：##性别：##出生日期：##国籍：##籍贯：##出生地：##民族：##毕业院校：##身高：##体重：##职业：##主要成就：##代表作品：##出道地区：##经纪公司：##星座：##血型：,文章##Wen Zhang##小文，猫儿##男##1984年##中国##陕西西安##陕西省西安市雁塔区##满族##西安铁一中→陕西师大附中→中央戏剧学院表演系（2002级）##172cm##60kg##演员、导演、剧本筹划##第31届大众电影百花奖最佳男主角##第31届中国电影金鸡奖最佳导演处女作奖##第26届中国电视金鹰奖观众喜爱的男演员##雪豹、裸婚时代、失恋33天、海洋天堂、小爸爸##内地##北京君竹影视文化有限公司##巨蟹座##O型
基地,http://www.baike.com/wiki/基地,http://a4.att.hudong.com/75/61/50200009239445155794616104646_s.jpg,,“基地”组织（阿拉伯文：قاعدة‎，意为“基地”），港澳台译盖达组织，马新译作卡伊达组织；又译凯达组织、开打组织，是一个伊斯兰教军事组织，该组织于1988年苏联入侵阿富汗斯坦后期创立，创立者是沙特阿拉伯富商本·拉登。,中文名称：##外文名：##别名：##总部所在地：##成立时间：##重要事件：,基地##AL-Qaeda##阿盖达组织##阿富汗##1988年##9·11事件
项目,http://www.baike.com/wiki/项目,http://a4.att.hudong.com/41/77/50200009239445155971772481146_s.jpg,社会科学##科学##萃智,项目是人们通过努力，运用新的方法，将人力的、材料的和财务的资源组织起来，在给定的费用和时间约束规范内，完成一项独立的、一次性的工作任务，以期达到由数量和质量指标所限定的目标。,名称：##拼音：##释义：##：##企业性质：##版权所有：##法文名：##俄文名：##韩文名：,项目##xiangmu##指一系列独特的、复杂的并相互关联的活动，这些活动有着一个明确的目标或目的，必须在特定的时间、预算、资源限定内，依据规范完成##不花钱营销##慈善事业##穷人智富网集团##projet##проект##계획
志愿,http://www.baike.com/wiki/志愿,http://a4.att.hudong.com/48/65/20300576610303158117656563562_s.jpg,,志愿，汉语词汇。,名称：##拼音：##释义：##外文名称：,志愿##zhì yuàn##志气与心愿##aspiration
程序,http://www.baike.com/wiki/程序,http://a3.att.hudong.com/05/26/50200009239445155957261802514_s.jpg,计算机语言##软件,在国标《质量管理体系 基础和术语》GB/T19000—2008/ISO9000：2005中第3.4.5条 程序procedure中对于“程序”的定义进行了规定。,中文名：##定义：##类型：##规定：,程序##进行某项活动或过程所规定的途径##管理术语##质量管理体系基础和术语
费用,http://www.baike.com/wiki/费用,http://a1.att.hudong.com/53/54/50200009239445155965546649423_s.jpg,,费用（expense），是企业在日常活动中发生的会导致所有者权益减少的、与向所有者分配利润无关的经济利益的总流出。,中文名称：##外文名称：##所属领域：##中文名：##其他外文名：##拼音：##定义：##类型：##应用领域：,费用##expense##经济 产业经济 会计名词 经济专业术语##费用##expense##fei yong##是企业在日常活动中发生的会导致所有者权益减少的、与向所有者分配利润无关的经济利益的总流出##会计学术语##企事业单位
考生,http://www.baike.com/wiki/考生,http://a0.att.hudong.com/22/34/50200009239445155966349904917_s.jpg,二字一般称谓##考试术语##高考,考生是指参加考试的学生。考试是测定学生学习情况的一种途径，现在的教育选拔人才还是主要依靠考试。,中文名：##英文名：##拼音：##定义：##类型：##目的：,考生##xaminee##kǎo shēng##指参加考试的学生##入学考试、期中期末考试等##测定学生学习情况，教育选拔人才
