Entity,AttributeName,Attribute
安徽医科大学,学校类别,公立大学
安徽中医学院,学校类别,公立大学
安徽农业大学,学校类别,公立大学
安徽师范大学,学校类别,公立大学
安徽技术师范学院,学校类型,公立大学
安徽理工大学,学校类别,公立大学
安徽黄山医科大学,学校类型,大学
安徽经济管理学院,学校类别,公立大学
安徽职业技术学院,学校类别,公立大学
安徽财经大学,学校类别,公立大学
鞍山师范学院,学校类别,公立大学
保山中医药高等专科学校,学校类别,公立大学
保山中医药高等专科学校,主管部门,云南省
保定学院,所属地区,河北省
保定学院,主管部门,河北省
保山师范高等专科学校,学校类别,公立大学
包头市职工大学,学校类别,公立大学
八一农垦大学,中文名,黑龙江八一农垦大学
八一农垦大学,学校类别,公立大学
八一农垦大学,主管部门,黑龙江省
北京中法大学,学校类别,私立大学
北京京华医科大学,学校类型,大学
北京京华医科大学,所属地区,北京市
北京京海学院,学校类型,大学
北京中医药大学,学校类别,公立大学
北京中医药大学,现任校长,徐安龙
北京中医药大学,主管部门,中华人民共和国教育部
北京兴华大学,学校类型,大学
北京体育大学,学校类别,公立大学
北京信息工程学院,学校类别,公立大学
北京信息工程学院,主管部门,北京市
北京农学院,学校类别,公立大学
北京农学院,所属地区,北京市
北京农学院,主管部门,北京市
北京农业工程大学,中文名,中国农业大学
北京农业工程大学,学校类别,公立大学
北京农业工程大学,主管部门,中华人民共和国教育部
北京化工大学,学校类别,公立大学
北京化工大学,所属地区,北京市
北京化工大学,现任校长,谭天伟
北京印刷学院,学校类别,公立大学
北京印刷学院,所属地区,北京市
北京印刷学院,主管部门,北京市
北京培黎大学,中文名,北京培黎职业学院
北京大学医学院,中文名,北京大学医学部
北京大学医学院,主管部门,北京大学
北京大学,学校类别,公立大学
北京大学,主管部门,中华人民共和国教育部
北京大学工学院,类别,公立大学
北京大学药学院,学校类别,学院
北京女子师范大学,学校类型,大学
北京工商大学,学校类别,公立大学
北京大学艺术学院,学校类别,公立大学
北京外国语大学,学校类别,公立大学
北京外国语大学,主管部门,中华人民共和国教育部
北京应用技术大学,学校类型,大学
北京应用技术大学,主管部门,北京大学
北京师范大学,主管部门,中华人民共和国教育部
北京建设大学,所属地区,海淀区
北京建筑工程学院,主管部门,北京市
北京机械工业学院,学校类型,大学
北京服装学院,学校类别,公立大学
北京服装学院,主管部门,北京市
北京物资学院,学校类别,公立大学
北京物资学院,所属地区,北京市
北京物资学院,主管部门,北京市
北京理工大学,学校类别,公立大学
北京理工大学,主管部门,中华人民共和国工业和信息化部
北京电子科技学院,学校类别,公立大学
北京电子科技学院,主管部门,中共中央办公厅
北京石油化工学院,学校类别,公立大学
北京石油化工学院,所属地区,北京市
北京石油化工学院,现任校长,蒋毅坚
北京石油化工学院,主管部门,北京市
北京电子科技职业学院,学校类别,公立大学
北京科技大学,主管部门,中华人民共和国教育部
北京第二外国语学院,学校类别,公立大学
北京第二外国语学院,现任校长,计金标
北京第二外国语学院,主管部门,北京市
北京联合大学,学校类别,公立大学
北京联合大学,主管部门,北京市
北京联合大学旅游学院,类型,公立大学
北京航空航天大学,学校类别,公立大学
北京航空航天大学,所属地区,北京市
北京航空航天大学,主管部门,中华人民共和国工业和信息化部
北京舞蹈学院,学校类别,公立大学
北京舞蹈学院,主管部门,北京市
北京达德大学,学校类型,大学
北京财贸职业学院,学校类别,公立大学
北京财贸职业学院,主管部门,北京市
北京青年政治学院,主管部门,北京市
北京语言大学,学校类别,公立大学
北京语言大学,主管部门,中华人民共和国教育部
北京邮电大学,学校类别,公立大学
北京邮电大学,主管部门,中华人民共和国教育部
北工大耿丹学院,中文名,北京工业大学耿丹学院
北华航天工业学院,学校类别,公立大学
北方民族大学,学校类别,公立大学
北方民族大学,主管部门,中华人民共和国国家民族事务委员会
北方大学,学校类别,公立大学
北方大学,现任校长,范文澜
北方大学,现为,中国人民大学
北方工业大学,学校类别,公立大学
北方工业大学,主管部门,北京市
本溪大学,学校类别,大学
渤海大学,学校类别,公立大学
北京建筑大学,学校类别,公立大学
北京建筑大学,现任校长,张爱林
北京建筑大学,主管部门,北京市
川北医学院,学校类别,公立大学
北京交通大学,学校类别,公立大学
北京交通大学,主管部门,中华人民共和国教育部
常州工学院,学校类别,公立大学
成都中医药大学,学校类别,公立大学
成都体育学院,学校类别,公立大学
白城师范学院,学校类别,公立大学
白城师范学院,主管部门,吉林省
成都信息工程学院,中文名,成都信息工程大学
成都信息工程学院,学校类别,公立大学
常熟理工学院,学校类别,公立大学
常熟理工学院,主管部门,江苏省
成都医学院,学校类别,公立大学
成都纺织高等专科学校,学校类别,公立大学
成都电子机械高等专科学校,学校类别,公立大学
成都理工大学,学校类别,公立大学
成都电子科技大学,中文名,电子科技大学
成都电子科技大学,学校类别,公立大学
成都电子科技大学,现任校长,曾勇
成都电子科技大学,主管部门,中华人民共和国教育部
材料科学与工程学院,学校类别,公立大学
材料科学与工程学院,学校属性,北京高科大学联盟
材料科学与工程学院,主管部门,燕山大学
承德石油高等专科学校,学校类别,公立大学
承德石油高等专科学校,主管部门,河北省
承德医学院,学校类别,公立大学
承德医学院,主管部门,河北省
朝阳师范高等专科学校,学校类别,公立大学
成都大学,学校类别,公立大学
楚雄医药高等专科学校,学校类别,公立大学
池州学院,学校类别,公立大学
楚雄师范学院,学校类别,公立大学
楚雄师范学院,主管部门,云南省
沧州师范专科学校,学校类别,公立大学
