SchoolItem1,relation,SchoolItem2
才鸿年,educated at,北京科技大学
朵英贤,employer,北京理工大学
董石麟,employer,浙江大学
翟裕生,educated at,北京大学
侯自新,educated at,南开大学
顾冠群,educated at,南京航空航天大学
江龙,employer,北京理工大学
董石麟,educated at,同济大学
顾冠群,educated at,东南大学
吕红,educated at,安徽师范大学
任剑涛,educated at,中山大学
任其龙,employer,浙江大学
江龙,educated at,南京大学
刘永顺,educated at,清华大学
阙端麟,employer,浙江大学
任其龙,educated at,浙江大学
蒋树声,employer,南京大学
杨德仁,employer,浙江大学
王建磐,educated at,华东师范大学
李三立,educated at,清华大学
杨德仁,educated at,浙江大学
宋爱国,educated at,北京外国语大学
阙端麟,educated at,厦门大学
蒋树声,educated at,南京大学
杨华勇,employer,浙江大学
舒德干,educated at,北京大学
江晓原,employer,上海交通大学
庄惟敏,employer,清华大学
王启东,employer,浙江大学
庄惟敏,educated at,清华大学
谢友柏,educated at,上海交通大学
江晓原,educated at,南京大学
徐志清,educated at,暨南大学
颜德岳,educated at,南开大学
杨华勇,educated at,华中科技大学
吴树青,employer,中国人民大学
朱建士,educated at,北京大学
许智宏,employer,北京大学
杨弘远,employer,武汉大学
王启东,educated at,浙江大学
母国光,employer,南开大学
张锦秋,employer,同济大学
王涌天,employer,北京理工大学
蒋国瑞,educated at,河北大学
吴树青,educated at,北京大学
王大勇,employer,北京大学
黄强,educated at,南京体育学院
杨弘远,educated at,武汉大学
陈亚珠,educated at,上海交通大学
钟秉林,educated at,东南大学
张锦秋,educated at,清华大学
谢毅,educated at,中国科学技术大学
母国光,educated at,南开大学
徐滨士,educated at,哈尔滨工业大学
谢毅,educated at,厦门大学
葛修润,educated at,清华大学
许智宏,educated at,北京大学
孙皎,father,孙静
孙才新,employer,重庆大学
雷啸霖,educated at,北京大学
孙才新,educated at,重庆大学
王小谟,educated at,北京理工大学
王阳元,educated at,北京大学
何力,educated at,首都师范大学
来学嘉,employer,上海交通大学
钟掘,educated at,北京科技大学
程章灿,educated at,北京大学
林尚安,educated at,厦门大学
计秋枫,educated at,南京大学
陈谦平,educated at,南京大学
靳辉明,educated at,中国人民大学
杨德才,educated at,安徽师范大学
柴天佑,educated at,东北大学
宋林飞,educated at,南京大学
孙钟秀,educated at,南京大学
孙义燧,educated at,南京大学
程镕时,educated at,北京大学
邢定钰,educated at,南京大学
欧阳平凯,educated at,清华大学
许志琴,educated at,北京大学
巢纪平,educated at,南京大学
谷超豪,employer,复旦大学
解思深,educated at,北京大学
谷超豪,employer,浙江大学
孙智伟,employer,南京大学
蒋华良,educated at,华东师范大学
孙智伟,educated at,南京大学
赵秉志,educated at,中国人民大学
姚建铨,educated at,天津大学
邱中建,educated at,重庆大学
周永务,educated at,安徽师范大学
瞿金平,educated at,华南理工大学
韩大建,educated at,北京大学
梁小民,employer,北京大学
曲兆祥,educated at,中国文化大学
聂华苓,educated at,南京大学
张群山,educated at,华南理工大学
瞿金平,educated at,四川大学
梁小民,educated at,北京大学
谷超豪,educated at,浙江大学
邓宗全,educated at,哈尔滨工业大学
沙庆林,educated at,上海交通大学
孙忠良,employer,东南大学
吴孟超,educated at,同济大学
罗远芳,educated at,华南理工大学
孙忠良,educated at,东南大学
薛永祺,educated at,华东师范大学
陈建文,educated at,北京师范大学
王曾瑜,educated at,北京大学
叶建农,educated at,华东师范大学
俞立中,employer,上海师范大学
蔡述明,educated at,中山大学
俞立中,educated at,华东师范大学
杨宗凯,employer,华中科技大学
姜礼尚,educated at,北京大学
许纪霖,educated at,华东师范大学
米耀荣,educated at,香港大学
骆清铭,employer,华中科技大学
宋大祥,employer,河北大学
邵新宇,employer,华中科技大学
张培刚,place of death,武汉协和医院
翦知湣,employer,同济大学
宋大祥,educated at,华东师范大学
项海帆,employer,同济大学
翦知湣,educated at,北京大学
翦知湣,educated at,同济大学
侯德彭,educated at,北京大学
项海帆,educated at,同济大学
汪品先,employer,同济大学
张培刚,employer,武汉大学
李光博,educated at,北京大学
蒋明谦,educated at,北京大学
张培刚,educated at,武汉大学
周济,educated at,清华大学
凌大琦,educated at,北京大学
曹策问,educated at,北京大学
景天魁,educated at,北京大学
韩天石,educated at,北京大学
王铭铭,educated at,厦门大学
田奇隽,educated at,北京大学
金国藩,educated at,北京大学
楼天成,educated at,清华大学
吉俊民,educated at,清华大学
朱玉贤,employer,武汉大学
周炳琳,educated at,北京大学
谢有畅,employer,北京大学
帅志刚,educated at,暨南大学
陈平原,educated at,北京大学
蒯大富,educated at,清华大学
杨东莼,employer,厦门大学
韩英铎,educated at,清华大学
范维澄,educated at,中国科学技术大学
蒋南翔,educated at,清华大学
汤用彤,employer,北京大学
金岳霖,employer,北京大学
金岳霖,employer,清华大学
汤用彤,educated at,清华大学
张楚汉,educated at,清华大学
温诗铸,educated at,清华大学
范守善,educated at,清华大学
杨东莼,educated at,北京大学
丘成栋,employer,清华大学
梅贻琦,employer,清华大学
周炳琨,educated at,清华大学
丘成栋,employer,华东师范大学
金岳霖,educated at,清华大学
王补宣,employer,北京大学
陈难先,educated at,北京大学
丘成栋,educated at,香港中文大学
中国人民大学清史研究所,part of,中国人民大学
马精武,educated at,北京电影学院
杨万泰,educated at,北京化工大学
路阳,educated at,北京电影学院
金亚秋,employer,复旦大学
杨万泰,educated at,清华大学
王传超,educated at,复旦大学
金亚秋,educated at,北京大学
陆侃如,employer,山东大学
陈超英,educated at,哈尔滨工业大学
陆侃如,employer,复旦大学
廖振鹏,educated at,清华大学
陆侃如,employer,中山大学
孙静,child,孙皎
陆侃如,educated at,北京大学
陆侃如,educated at,清华大学
湖北省立医科大学,part of,武汉大学
哈佛三剑客,employer,武汉大学
毛大庆,educated at,东南大学
哈佛三剑客,educated at,武汉大学
武汉测绘学院,replaced by,武汉大学测绘学院
陈温福,educated at,沈阳农业大学
龚健雅,employer,武汉大学
郭传杰,educated at,武汉大学
顾海良,employer,武汉大学
张蔚榛,employer,武汉大学
张渲,educated at,武汉大学
张在元,employer,武汉大学
张祖勋,educated at,同济大学
张蔚榛,educated at,北京大学
张在元,educated at,香港大学
侯建国,employer,中国科学技术大学
龚健雅,educated at,武汉大学
张祖勋,educated at,武汉大学
顾海良,educated at,中国人民大学
侯建国,educated at,中国科学技术大学
卓仁禧,employer,武汉大学
周鲠生,employer,北京大学
周鲠生,employer,中山大学
卓仁禧,educated at,复旦大学
周鲠生,employer,武汉大学
武忠弼,educated at,同济大学
