Entity,AttributeName,Attribute
陈斯鹏,性别,男
陈斯鹏,出生地,中国
陈斯鹏,民族,汉族
陈斯鹏,国籍,中国
陈斯鹏,职业,教师
陈斯鹏,毕业院校,中山大学
陈斯鹏,政党,中国共产党
陈斯鹏,任职机构,中山大学
才国伟,性别,男
才国伟,国籍,中国
中山大学,学校类别,公立大学
中山大学,主管部门,中华人民共和国教育部
中山大学,创办人,孙中山
仇序佳,性别,男
仇序佳,国籍,中国
仇序佳,职业,教授
陈伟武,国籍,中国
邓伟生,性别,男
邓伟生,国籍,中国
董家遵,性别,男
董家遵,国籍,中国
方建培,行业,医生
方建培,国籍,中国
董每戡,民族,汉族
董每戡,国籍,中国
董每戡,毕业院校,上海大学
费鸿年,民族,汉族
费鸿年,国籍,中国
范若兰,性别,女
范若兰,民族,汉族
范若兰,国籍,中国
范若兰,职业,教师
范若兰,毕业院校,中山大学
古德祥,性别,男
古德祥,出生地,马来西亚
古德祥,国籍,中国
管忠震,性别,男
管忠震,国籍,中国
黄修已,国籍,中国
黄修已,毕业院校,北京大学
国立广东大学,学校类别,公立大学
国立广东大学,所属地区,广东省
国立广东大学,主管部门,中华人民共和国教育部
高华年,国籍,中国
郭文亮,民族,汉族
郭文亮,国籍,中国
郭文亮,职业,教授
郭文亮,政党,中国共产党
黄政伟,民族,汉族
黄政伟,国籍,中国
黄政伟,政党,中国共产党
胡守为,国籍,中国
黄启臣,民族,汉族
黄启臣,国籍,中国
黄冬娅,性别,女
黄冬娅,国籍,中国
黄冬娅,毕业院校,香港中文大学
何诗海,性别,男
何诗海,国籍,中国
何诗海,毕业院校,南京大学
贾保国,民族,汉族
贾保国,国籍,中国
龙朝晖,性别,男
龙朝晖,国籍,中国
李捷瑜,性别,女
李捷瑜,国籍,中国
岭南人,国别,中国
刘京军,性别,男
刘京军,国籍,中国
李尚德,性别,男
李尚德,国籍,中国
刘醒云,民族,汉族
刘醒云,国籍,中国
卢锐,性别,男
卢锐,国籍,中国
卢锐,职业,教师
卢泰祥,行业,医生
卢泰祥,民族,汉族
卢泰祥,国籍,中国
刘祖国,民族,汉族
刘祖国,国籍,中国
刘祖国,代表作品,教授
劳平,性别,男
劳平,民族,汉族
劳平,国籍,中国
劳平,职业,教授
梁庆寅,性别,男
梁庆寅,民族,汉族
梁庆寅,国籍,中国
梁庆寅,职业,教授
刘湘兰,国籍,中国
刘湘兰,职业,教授
李小五,性别,男
李小五,国籍,中国
李小五,毕业院校,长沙理工大学
梁球琚,性别,男
梁球琚,民族,汉族
梁球琚,国籍,中国
毛文书,国籍,中国
麻国庆,性别,男
麻国庆,国籍,中国
麻国庆,职业,教授
麻国庆,毕业院校,西北大学
聂海峰,性别,男
聂海峰,毕业院校,北京大学
牛鸿,性别,男
牛鸿,国籍,中国
牛鸿,职业,教师
潘树荣,性别,男
潘树荣,国籍,中国
潘树荣,毕业院校,中山大学
丘志仁,性别,男
丘志仁,国籍,中国
丘志仁,毕业院校,中山大学
丘国新,性别,男
丘国新,民族,汉族
丘国新,国籍,中国
丘国新,毕业院校,中山大学
丘国新,政党,中国共产党
钱锡红,性别,女
钱锡红,民族,汉族
钱锡红,国籍,中国
钱锡红,政党,中国共产党
祁军,性别,男
任佳刚,出生地,中国
任佳刚,国籍,中国
孙宏云,职业,教师
石军辉,性别,男
石军辉,民族,汉族
石军辉,国籍,中国
孙群燕,国籍,中国
孙群燕,职业,教师
苏寰中,国籍,中国
苏寰中,职业,教师
苏寰中,毕业院校,中山大学
苏琦,性别,男
苏琦,民族,汉族
苏琦,国籍,中国
苏琦,职业,教授
史洪权,性别,男
史洪权,民族,汉族
史洪权,国籍,中国
史洪权,职业,教师
谭琦,性别,女
谭琦,民族,汉族
谭琦,国籍,中国
唐仕波,性别,男
唐仕波,国籍,中华人民共和国
温春来,性别,男
温春来,国籍,中国
温春来,毕业院校,中山大学
邬金涛,性别,男
邬金涛,民族,汉族
SYSU,中文名,中山大学
王哲,性别,男
王哲,国籍,中国
王哲,民族,汉族
王哲,毕业院校,郑州大学
王哲,政党,中国共产党
谢霞飞,国籍,中国
谢礼珊,国籍,中国
夏书章,民族,汉族
夏书章,国籍,中国
夏书章,毕业院校,南京大学
许罗丹,性别,女
许罗丹,国籍,中国
夏晴,国籍,中国
徐坚,性别,男
徐坚,民族,汉族
徐坚,国籍,中国
许宁生,民族,汉族
许宁生,国籍,中国
徐润林,性别,男
徐润林,国籍,中国
徐润林,职业,教师
徐润林,毕业院校,南京大学
许崇清,民族,汉族
许崇清,国籍,中国
叶创兴,性别,男
叶创兴,国籍,中国
叶创兴,职业,博士生导师
叶创兴,毕业院校,中山大学
英东体育馆,所属球队,中山大学
余思远,性别,男
余思远,国籍,中国
余思远,职业,教授
张开兴,民族,汉族
中山大学深圳研究院,学校类型,大学
周连宽,民族,汉族
周连宽,国籍,中国
中山大学就业指导中心,隶属,中山大学
张文庆,性别,男
张文庆,民族,汉族
张文庆,国籍,中国
张文庆,职业,教授
张文庆,毕业院校,湖南师范大学
中山大学中法核工程与技术学院,所属地区,中国
中山大学中法核工程与技术学院,主管部门,中山大学
詹小美,性别,女
詹小美,国籍,中国
